Date,BTC,BTC Available,BTC Collateral,BTC USD,ETH,ETH Available,ETH Collateral,ETH USD
6/4/2016,26287.15,10697.59,8248.45,171203.27,88100.78,87573.36,183512.2,86594.89
7/21/2016,32950.13,,,154980.23,163695.87,141074.04,117198.26,133320.61
5/21/2017,32076.27,7213.23,7695.05,115233.23,102683.64,132133.18,117553.86,88162.56
1/22/2018,18944.75,11347.93,8800.08,179227.67,146298.6,83892.39,94363.22,186255.71
9/28/2016,5095.57,10981.95,2947.25,161873.12,102781.84,192094.31,141550.56,156332.24
8/11/2017,2670.92,10930.8,5181.58,156733.74,120585.0,91663.47,159736.29,89294.02
5/13/2018,17025.95,5817.64,8368.83,154514.57,98063.65,153241.55,190867.49,164978.77
6/2/2016,6166.07,1214.08,1973.78,91182.07,159770.88,,,118630.45
5/23/2016,36967.91,6793.94,8417.51,140384.2,191823.96,181201.96,167736.45,168460.63
4/12/2017,36670.66,1555.22,3238.46,182985.88,95560.48,157280.94,105101.89,187737.22
12/29/2016,15005.31,3786.0,6065.39,190727.23,155349.07,130220.74,148466.88,197684.96
12/3/2017,24664.3,5040.86,4901.29,137291.1,135462.58,134915.34,85013.02,112038.28
9/21/2016,7128.62,660.74,5108.92,189407.2,135459.68,121790.27,123711.34,152100.15
3/1/2018,49268.29,10579.64,6062.62,165327.27,141239.5,116134.32,95356.65,171384.76
12/22/2016,24659.63,2831.56,4427.71,175194.21,134442.91,111059.6,109556.41,95210.04
10/25/2016,12328.1,6768.61,1509.62,198426.68,133588.04,111074.39,161760.52,154704.6
2/13/2018,18893.84,9452.16,1244.15,139236.03,96385.23,118586.96,157460.83,82449.18
10/4/2016,2001.1,3931.78,7388.65,148543.66,146490.74,196665.33,172997.03,110826.52
3/24/2017,47379.33,8727.43,8534.0,125380.31,143227.73,169815.12,126499.52,155292.59
11/6/2016,40468.91,,,106613.78,80656.7,123989.43,124192.48,181642.67
8/11/2016,46275.72,10487.48,7137.67,196014.79,96443.38,167285.5,192561.61,87289.21
9/11/2017,34990.14,2275.28,7006.18,97435.1,199744.96,122221.7,105023.98,119509.48
2/28/2017,7744.86,10085.25,3710.19,198912.24,136679.86,95340.0,119183.29,82260.74
1/22/2017,22721.86,622.41,1973.58,144562.42,118006.28,159617.8,194224.75,95754.77
1/17/2018,2824.72,,,192918.07,178084.0,94141.2,157695.49,117973.78
5/10/2017,30929.92,3872.75,3836.83,84320.54,142456.16,179786.44,172799.03,151141.58
9/7/2017,1260.26,2827.1,7650.1,168522.92,124260.35,93303.15,112084.5,94170.64
8/8/2016,18525.55,2668.77,5150.98,89147.59,112135.36,109192.2,196348.08,169590.57
9/18/2017,48935.25,5135.5,8628.75,110823.7,97441.87,192979.7,177571.38,109629.37
2/21/2018,14831.34,,,150954.53,151487.94,170541.48,97740.95,95343.7
10/9/2016,36730.9,6133.52,4776.91,90456.82,131611.47,146237.63,131555.22,119193.81
5/11/2018,31879.5,11315.17,6958.27,141200.03,105002.57,127703.72,95822.6,96765.93
8/30/2017,5242.37,,,180372.57,118179.13,186102.32,147961.89,146968.99
3/20/2017,2934.82,3105.59,8261.6,128021.55,127121.36,191045.98,116811.38,138285.75
11/28/2016,11512.02,2760.94,4353.94,154155.43,96358.89,156967.19,132738.47,142541.87
3/10/2018,1291.35,9528.33,9362.47,91283.91,114128.97,100734.34,117327.85,161679.62
6/28/2016,39218.01,8531.12,9969.12,177495.25,83629.75,,,181236.79
9/11/2017,34400.45,1096.77,1952.76,102976.72,117947.22,,,155730.6
2/16/2017,48056.26,6485.88,1841.65,116260.69,191926.93,162771.06,81402.35,173395.35
4/19/2017,26435.38,7762.87,4619.62,91160.84,176777.25,195349.1,101886.25,171801.92
6/21/2016,32371.7,5424.28,2365.52,142386.41,80353.51,93551.17,193407.12,133712.01
9/8/2016,7157.65,4087.09,8525.66,134007.86,104049.57,138509.18,80489.7,124803.61
8/10/2017,36081.09,2979.86,1374.92,92507.24,91086.94,141833.37,119918.36,85727.86
10/17/2016,40047.34,11441.53,6433.49,197068.41,105926.95,,,116422.44
6/19/2017,35530.46,7358.08,8686.81,170586.0,185951.17,159205.15,184598.73,83472.84
8/12/2016,47450.15,3289.86,6153.6,136159.6,170729.21,115752.3,198042.38,174240.67
10/16/2017,40015.08,7264.33,8191.06,107671.96,173359.92,139764.45,123704.38,150683.45
12/28/2017,23091.43,,,85552.48,196911.65,101722.37,166261.41,165693.33
10/21/2016,8919.58,11543.09,5940.19,194217.98,159272.77,152060.69,140067.31,109619.12
3/5/2018,4863.5,6283.55,5555.52,116271.59,100388.27,172098.64,117460.8,193934.28
1/8/2018,19400.54,2725.08,4863.16,157334.0,137725.88,140298.94,107824.63,85811.14
8/15/2017,11131.01,8079.2,8452.55,87553.0,144816.26,95346.39,176326.03,175017.85
4/3/2018,21224.3,6705.91,1638.75,104973.47,90835.65,112186.9,162368.37,127464.49
4/2/2018,13966.87,10387.56,6205.72,196596.08,90053.04,172498.72,117938.42,111676.67
9/7/2017,38072.92,,,94163.62,136782.73,109273.48,192009.64,118009.21
3/1/2018,7931.99,6161.67,6387.75,177981.37,103656.32,96532.54,116045.16,158694.8
6/24/2017,45990.45,10407.99,7583.52,144408.48,160110.0,126279.47,110844.43,172728.26
8/18/2017,31572.97,6391.12,7548.85,102189.67,119945.81,,,175187.12
4/23/2017,15999.05,10041.21,5184.17,188567.1,164437.81,161352.55,102740.95,158574.82
5/25/2016,2404.98,4891.02,9104.73,172269.67,114277.77,96364.55,90564.98,114948.95
12/19/2017,44203.03,4386.69,3036.88,100790.77,124062.14,81379.6,85244.16,140843.47
7/26/2016,38555.14,11941.21,8358.43,151858.19,101612.22,135461.58,111712.28,156864.87
11/12/2016,38235.83,6592.53,7497.01,118267.65,107039.94,128509.1,140504.84,121930.97
12/3/2016,8034.7,6702.73,2884.89,121186.87,95498.63,161914.6,183700.65,82425.1
8/5/2017,20118.91,9887.21,4565.59,111744.0,123564.64,140826.17,197980.4,97890.39
9/7/2017,19389.17,,,178172.42,106958.08,97892.41,158781.83,174412.81
9/27/2017,23630.66,3457.17,2382.9,87273.27,98173.92,163933.73,146978.83,164749.55
10/8/2016,18075.99,11857.36,4460.93,159520.86,137575.62,163594.47,161080.97,104847.67
9/2/2017,4055.27,9116.07,5686.54,137997.04,143604.28,,,80113.2
3/1/2018,10117.25,4640.65,5365.89,126707.04,99874.24,128377.59,103113.01,150952.17
2/25/2018,32472.76,11300.02,6212.09,134224.26,139701.09,102857.75,192580.57,90468.97
9/23/2017,11515.56,5462.1,5807.65,174159.24,195087.97,89630.57,113024.03,166854.0
6/10/2017,37863.31,11266.19,3943.27,197122.44,179531.86,97314.35,155359.81,115144.37
7/11/2017,6940.44,6728.85,3194.15,98650.96,188376.54,103149.18,195163.77,85545.18
8/15/2017,13829.01,9943.36,1321.93,128288.1,124228.08,128537.51,189148.76,111287.96
3/7/2018,3837.82,1107.76,6349.43,173244.82,172274.25,187177.74,112719.67,100430.41
11/12/2016,32917.92,10209.08,7120.81,167204.88,188268.41,162271.15,138094.37,121984.08
12/11/2017,28804.05,4603.44,1036.12,97617.98,150941.23,167587.93,138266.86,98995.39
2/19/2017,32319.51,4115.69,4204.16,132063.52,120648.63,93409.01,181835.44,152796.76
5/1/2017,2406.68,5417.07,2337.03,108512.24,106635.29,147759.05,173886.37,135871.27
10/1/2016,8100.41,5966.86,9141.51,168484.24,145465.75,107894.22,88996.66,162607.81
3/15/2018,26872.35,11942.04,7377.6,94075.96,174273.8,100797.26,128665.67,93109.96
5/4/2017,7196.63,9728.96,6112.85,126923.53,172338.81,146940.51,142981.36,145540.61
2/16/2018,26243.71,1597.41,3323.47,190519.62,103860.98,157182.61,163035.18,137915.96
3/19/2017,47820.44,2001.66,3065.94,111300.24,140754.24,153879.61,180327.87,195474.5
6/4/2016,5101.82,1540.41,4591.15,118848.38,197040.46,169935.61,80451.31,82338.07
1/22/2018,4159.88,1139.26,1682.15,180859.77,94283.92,186065.89,165358.02,193703.26
11/14/2017,2555.06,4161.62,5253.54,192041.83,97863.36,184943.51,138581.0,119044.07
3/23/2017,9650.95,6820.05,1690.44,146729.8,152385.44,91048.34,117296.89,134821.9
5/7/2018,5220.66,11583.36,8824.34,183842.09,137579.51,154411.63,152687.72,118951.29
8/3/2016,28009.72,11761.15,3680.12,127234.32,135415.16,172096.21,139845.74,169925.42
2/20/2017,35544.5,8984.26,1527.87,92998.73,149704.25,138545.12,88728.63,109595.08
12/13/2016,49637.01,924.31,6780.26,146576.67,176395.78,197147.68,115263.92,189878.22
9/7/2016,14847.95,11446.45,9253.48,114070.95,181558.05,152694.67,100310.47,138076.06
2/20/2018,13262.62,11909.2,1953.97,86958.64,96605.02,183514.39,97603.32,136544.65
4/21/2018,40978.36,3416.81,9425.98,153985.11,126593.94,171854.74,136292.53,132157.62
8/25/2017,18881.72,6532.72,7410.19,82355.0,99748.8,114499.07,132407.74,182437.0
1/29/2018,32325.51,10377.89,9463.54,184571.52,161197.65,163760.45,179429.45,143312.9
5/1/2018,8639.32,4727.64,9632.6,166938.69,82794.0,156377.45,189399.34,137274.47
5/5/2017,2693.46,5734.89,5740.77,132608.83,157324.38,80659.76,163875.58,158338.73
4/22/2018,13056.53,6377.15,5764.03,183435.68,109940.23,184712.06,108639.12,119000.96
10/10/2017,17965.87,8861.56,5491.38,190293.02,188285.88,112622.91,148632.81,105522.15
10/24/2016,26571.1,1135.78,5995.62,91323.75,108196.72,167399.68,154561.89,141203.66
8/17/2016,43471.96,9771.84,4904.11,180105.33,88065.52,101211.16,163287.99,91251.9
7/9/2017,5845.71,9471.45,1180.27,104447.19,137721.3,133392.01,119649.96,106811.97
7/15/2016,9979.86,8186.44,2659.54,135218.62,192497.04,,,140031.02
11/9/2017,49334.14,5000.73,3936.64,196362.24,98932.15,121837.0,139083.7,115110.52
7/22/2016,28176.91,7597.38,9831.13,163694.99,183327.79,108529.13,114592.22,149501.45
5/1/2018,14532.91,8108.7,7088.18,154311.79,163136.31,172959.88,89724.86,148636.86
11/3/2016,9673.46,10840.3,6871.85,124072.71,151049.88,181856.15,110256.7,158645.03
1/7/2018,22397.86,2844.58,7729.15,147166.04,193271.33,157433.25,114795.11,84790.47
4/18/2018,11478.43,544.09,9179.68,126891.53,100360.13,181603.03,170797.31,148346.33
1/10/2018,29050.91,4778.83,3632.37,188478.07,186026.31,101884.32,138702.37,108859.75
2/14/2017,1342.31,9944.55,2237.35,161261.66,141279.85,186886.16,85741.48,151813.54
5/12/2017,10289.67,755.63,4012.15,140480.98,186087.49,179184.23,198905.05,196040.42
11/29/2017,28463.04,1762.35,4888.43,92359.07,116264.23,149573.7,195629.13,149241.81
9/18/2016,21861.12,9620.36,2041.34,109778.71,104331.71,140547.15,169477.76,92042.38
4/24/2018,48115.85,11280.9,9791.5,83033.59,103574.03,,,85445.91
11/2/2017,41892.59,8040.39,2738.53,102218.52,165021.59,100099.05,107023.0,91067.64
7/16/2016,18908.82,1177.43,7017.8,138445.35,187467.94,184696.91,135401.21,97460.22
3/31/2018,43128.74,2414.33,8267.89,150822.33,174737.38,190590.68,87984.26,99140.62
7/11/2017,29735.31,6860.35,4340.31,153521.37,153814.53,81743.61,150810.06,130834.09
2/7/2018,4122.21,3176.93,8331.67,175428.74,157069.49,125572.66,86759.0,187061.72
12/25/2016,26225.44,8872.11,7889.12,154311.18,179391.84,199799.01,121137.69,130230.1
4/12/2018,6828.27,510.94,2872.23,107526.69,99731.63,100333.77,127637.18,156171.38
2/11/2017,43945.28,5633.99,7046.07,87847.97,153994.35,143763.13,97427.13,93970.33
11/24/2017,11677.89,7613.18,8259.56,196787.42,139475.72,171182.16,146051.99,83423.32
11/5/2017,3217.85,3791.76,5035.11,107585.69,102735.86,108927.96,139798.02,89999.62
3/28/2017,24226.84,654.47,3286.79,166135.32,106503.17,101930.23,196238.83,121173.41
4/8/2018,44669.52,7788.93,5573.33,116022.69,186543.56,185768.96,163542.2,125177.82
10/10/2016,43113.69,7186.95,9764.16,143306.83,135884.72,98316.04,105735.42,99767.0
7/18/2017,30790.69,3429.37,5474.9,122661.51,185051.14,157478.05,134394.94,122208.2
2/17/2018,7636.99,957.35,3494.08,119569.47,114385.64,99551.0,105314.98,173326.31
12/11/2016,7280.54,10771.36,5557.52,103126.55,185311.47,97127.77,126589.31,113339.86
11/13/2016,34260.78,1462.28,5634.48,189429.32,154299.77,91807.36,87641.97,170562.15
5/11/2018,12387.14,920.52,5873.89,195905.48,186194.26,199787.21,128755.77,116858.15
10/15/2017,13827.46,1193.21,2731.02,140656.26,154764.74,162425.6,144605.86,179406.0
10/9/2016,33797.84,2341.95,4574.7,110429.87,154607.7,198339.58,154571.19,178399.22
9/11/2017,43718.5,3504.85,2597.66,148688.26,155182.61,198777.27,91457.52,155297.42
7/20/2016,33795.79,1762.15,8765.66,179481.54,197807.92,157593.05,199988.42,140713.38
11/16/2017,17491.61,9248.65,3513.88,129265.5,85890.75,165704.97,186893.06,126369.36
4/14/2017,43615.05,1649.55,2712.74,194157.85,186405.28,132232.54,96546.84,153800.61
6/2/2017,29190.73,9321.42,4574.36,179926.74,83675.05,133418.66,122627.95,88205.01
5/18/2018,5184.85,7751.12,6696.11,157968.95,125777.05,83030.91,167144.62,156058.27
6/1/2017,32091.11,8907.36,7751.27,136808.43,90255.98,119159.43,186025.36,125803.47
2/13/2017,30037.12,8642.37,6463.9,88917.93,141484.2,143712.37,153844.48,120784.99
11/30/2017,6291.95,3890.92,6554.72,122957.48,135675.6,170011.6,177901.48,121870.95
9/26/2017,10294.93,9578.46,6398.63,126725.0,95896.0,163530.5,132623.39,82793.33
1/25/2018,48703.73,3784.01,2518.07,112670.67,157237.29,144022.49,199559.22,110328.57
11/10/2017,9872.73,9479.07,9274.56,160949.6,111921.53,86299.38,112352.69,134764.76
10/7/2016,34494.77,7116.88,8149.5,190838.0,144409.4,101929.83,171402.96,126903.11
1/31/2018,9277.12,5086.41,2646.97,135235.0,147885.59,154562.46,150898.73,81123.7
8/23/2017,26499.77,5666.97,7614.41,144616.64,198336.24,150744.91,179573.84,104310.24
6/15/2017,33396.73,7253.24,8334.16,108127.05,116063.0,192105.82,93052.41,139686.36
7/27/2017,47942.03,8011.17,7632.42,134588.88,180962.23,124515.75,103040.33,82850.4
6/26/2016,32722.82,11696.98,6151.62,176697.29,138866.15,161183.57,159109.15,99048.94
2/21/2018,45509.71,1740.09,4885.0,179928.41,178188.98,115348.89,186593.51,192397.23
10/24/2017,17386.73,,,84701.81,98035.45,144996.46,193522.56,125257.44
4/7/2018,27046.77,2072.94,9384.69,185178.54,90254.24,,,108703.9
9/19/2017,47926.94,11140.51,2252.44,152468.01,164591.51,89142.29,105524.14,86550.74
3/30/2017,14378.96,4222.64,7381.61,86300.36,115633.36,178084.08,189128.82,131795.82
7/23/2017,44171.54,10054.94,6160.98,94499.75,162414.04,105360.99,120485.82,116013.61
6/6/2016,4200.96,824.72,9524.08,102090.4,150211.36,166285.92,152377.0,130062.95
1/22/2017,23259.92,10039.49,5905.33,83824.08,181800.23,107039.12,172703.88,122420.58
2/21/2018,16238.73,7205.39,6026.09,137599.49,143090.11,127524.18,100904.66,100353.91
7/29/2017,38148.58,5261.7,9319.33,172426.2,103239.72,150196.42,110225.54,144487.33
11/1/2017,47409.73,4809.46,9130.57,128554.64,88156.53,154840.27,163180.3,177701.99
4/15/2017,38787.65,2041.21,9589.26,95638.35,113178.75,98705.51,145474.25,107430.01
7/24/2017,24542.92,905.24,5567.57,159589.19,111335.83,83495.36,199266.51,83230.72
11/24/2017,33194.99,967.55,4641.39,127196.82,194161.59,99162.11,125902.29,198713.9
2/13/2018,48153.45,6482.43,9476.59,174782.48,163622.44,139215.08,127808.95,97170.48
11/25/2016,38968.25,7956.65,2480.03,126532.0,175200.01,115282.48,151335.33,156043.68
7/21/2016,28938.89,10974.46,8509.27,129353.46,158172.24,173504.19,103487.07,128720.66
1/23/2018,31268.67,2527.67,4320.47,111545.0,95545.84,152449.32,176817.61,123391.41
2/13/2018,10624.42,2361.14,8979.58,178761.0,198847.84,135560.02,196500.12,193356.92
3/28/2018,37965.97,3573.17,3293.92,197889.93,175413.18,91420.21,139568.98,154731.34
12/8/2016,38761.82,7130.64,4519.31,142207.66,146876.05,109950.47,159729.39,102917.54
6/3/2017,25245.04,4874.8,5754.46,82582.46,156225.05,134833.47,100130.07,129383.14
9/23/2017,24635.26,6026.37,3743.16,162039.69,185204.91,181229.89,107430.64,148629.67
4/24/2017,35235.9,1376.51,2513.28,168136.75,138441.01,141266.92,129670.52,133749.76
12/5/2017,28815.83,1332.07,8165.86,81751.54,133224.87,192529.62,82045.97,143446.47
2/22/2018,19901.1,10038.45,5230.19,102005.0,118501.3,154624.08,154903.62,189587.87
6/23/2016,15475.16,8268.03,3086.81,113816.73,120916.58,131095.81,118483.77,151107.5
7/7/2017,2055.52,1037.9,9435.61,126095.69,112228.03,122577.76,143201.39,132935.95
2/11/2017,39570.91,5235.95,4470.45,136235.4,83565.99,193259.22,170570.51,111177.64
8/23/2016,46126.58,3743.66,8214.78,142075.07,147579.22,84732.79,153466.0,95625.27
3/24/2018,16406.27,4056.25,4331.14,183671.81,175910.82,84641.57,183013.94,141578.55
5/27/2016,16116.5,11804.95,7038.06,147016.75,172961.86,,,195374.48
7/28/2017,5306.95,3689.48,7081.75,144520.82,183947.35,97110.05,82240.0,161749.0
9/19/2017,42657.14,9769.71,6171.67,125521.18,160960.24,127574.43,185181.96,86493.3
8/3/2016,5473.42,3477.18,5433.27,167819.94,162394.75,86428.31,185565.24,160337.68
1/2/2018,26662.13,7590.99,5486.09,188912.05,107587.12,81264.51,173619.27,120778.01
8/29/2017,22358.41,7654.94,2857.91,157827.44,183724.8,,,107404.73
6/20/2016,14888.13,6043.76,6590.95,164773.14,146213.65,173205.63,170496.52,181161.4
6/21/2016,22301.26,8530.95,2402.4,186181.17,175665.59,132321.39,86425.96,154295.82
2/23/2017,26075.9,6154.05,7448.33,183464.93,112761.26,112681.48,119244.37,97823.17
3/19/2017,9186.44,8378.07,2635.91,146978.0,137221.47,130583.54,134432.7,110558.4
3/22/2017,31333.25,9310.3,2077.34,192391.63,107088.71,136449.21,159942.96,166665.73
2/14/2017,18459.77,875.04,5668.93,156704.77,138994.83,,,107737.19
2/17/2017,24722.95,11035.81,8600.13,186424.8,87390.75,124164.39,107283.25,111596.57
1/31/2017,43645.53,11070.14,4062.07,113166.45,141686.98,102552.59,124489.35,196797.63
7/31/2017,9732.01,3196.21,3753.25,196830.49,150741.49,160373.55,86275.68,134929.16
3/16/2017,37290.33,5643.64,5557.39,128451.49,168597.86,171051.3,179867.71,190749.0
8/21/2017,35004.04,10400.19,8087.11,140731.01,162387.86,146722.23,159363.65,183930.66
8/27/2016,22098.38,8402.94,1234.4,176695.65,82634.19,157562.99,151917.21,157735.58
3/12/2017,45721.82,8628.58,7133.36,199004.63,199561.99,,,182817.93
11/5/2017,31794.51,3617.0,4842.27,113175.0,143273.34,158248.78,176872.24,158624.35
1/25/2018,4566.41,9445.37,5200.35,85089.9,156029.33,197530.36,140958.17,176598.26
9/30/2016,8955.52,3783.16,3596.07,101623.0,110357.24,111245.74,127214.09,92413.93
8/25/2016,18484.71,5983.84,8928.11,90577.87,156458.18,142336.64,144146.46,110217.14
4/8/2018,1975.53,10916.34,3255.46,89058.59,155714.64,,,81199.48
11/20/2016,18921.65,7342.59,7313.43,114548.22,164860.0,157052.68,88269.59,184115.63
11/2/2016,29211.49,2763.34,4516.8,152800.89,147671.72,193027.31,164064.4,178582.01
8/12/2017,12406.66,5508.69,5077.35,129913.38,164364.59,116916.76,92804.14,84728.76
8/15/2016,44516.41,5397.92,9211.8,121228.78,97696.22,,,167388.66
6/26/2017,9067.54,10055.75,5432.96,108300.01,169707.68,135989.64,98956.94,145721.56
9/3/2016,11721.99,1574.98,1167.22,124794.75,102417.24,117092.75,138598.3,82246.01
3/22/2017,17237.45,8435.81,2798.91,193377.0,191611.77,88748.29,80565.97,157644.52
11/15/2016,36162.32,2105.95,7996.31,118992.54,115665.41,135415.61,82303.39,92470.88
12/9/2017,10546.47,1757.67,4800.29,89319.56,131567.4,101119.68,176750.33,117675.96
4/22/2018,49199.28,,,83127.55,172489.62,96836.0,128070.24,176355.26
10/27/2016,29756.98,5575.11,3653.03,119113.92,188819.16,182549.25,85140.58,89475.85
1/4/2017,2073.75,2568.32,2131.45,122764.94,110647.13,192466.51,148626.44,155316.71
12/10/2017,12601.21,,,99607.64,176604.71,129174.12,119602.61,153068.83
5/7/2018,22138.72,6516.06,6819.55,114032.0,164317.96,89028.7,162101.29,132156.56
9/7/2016,11095.27,4177.28,3737.69,168702.0,154223.24,88966.13,140661.73,131630.88
11/22/2017,35535.0,7557.12,1327.66,119435.09,106807.62,162031.94,98134.21,96673.9
1/3/2018,14392.14,5869.77,2455.42,177674.15,86255.73,,,171982.08
2/24/2017,5756.26,7630.39,7233.06,166937.3,110973.32,174334.94,96753.53,158034.44
10/20/2016,43948.81,,,189888.24,185728.56,103105.04,196773.88,197388.39
8/9/2017,37926.52,908.26,1542.75,195301.94,133759.41,93366.44,86940.14,94985.43
9/24/2017,2333.69,3468.28,7027.11,128360.41,165552.88,132342.77,161438.93,94151.97
6/8/2016,35456.98,11420.63,3136.46,175682.08,91715.65,89139.52,155979.02,167825.13
2/24/2017,2843.68,7043.31,6432.06,80334.1,118741.92,94631.76,135559.75,161795.36
1/29/2018,46344.54,2818.15,3761.62,171145.21,187274.96,115944.13,129343.7,128989.37
10/16/2016,46406.38,7662.86,3705.37,115691.42,154354.85,184751.06,133235.26,164390.32
8/13/2017,35953.72,10110.35,5869.03,130779.42,92992.71,92258.66,171085.15,145631.11
10/4/2016,29890.01,9547.19,9373.09,167200.02,158449.69,178670.96,93590.52,111335.23
8/9/2017,18743.34,609.45,3939.22,152782.53,94389.42,129584.17,179978.65,110558.13
10/29/2017,21383.07,8842.91,8870.97,96780.68,159521.54,146354.47,157681.16,188635.08
10/29/2017,35494.79,4272.25,9277.86,189139.05,112039.91,91684.22,174023.31,152186.33
11/21/2016,1323.14,8896.31,1666.63,186406.49,121431.58,95534.47,132820.52,160910.95
3/27/2017,16265.66,3872.76,6941.29,147752.33,151124.15,92685.8,160053.24,97580.93
4/28/2017,5911.79,3845.16,6976.46,127317.9,126788.1,120669.78,169046.7,172647.4
1/9/2017,12649.85,7851.02,3617.76,179086.95,133164.03,131343.1,115619.19,198251.94
3/24/2017,8785.05,1668.62,4384.92,81682.66,99941.33,162809.28,111855.61,87656.26
12/10/2017,41733.13,10719.4,2847.71,92253.64,142756.72,109137.47,194486.98,162162.17
2/10/2018,3764.45,6073.82,4363.07,134593.99,165738.14,128316.16,186323.85,112351.47
1/4/2017,32770.87,4063.74,3652.51,179701.57,153148.72,164575.07,175439.74,100555.0
11/26/2017,16622.02,4433.54,3476.94,88562.99,105207.32,106956.22,107526.47,163037.0
3/12/2018,32854.44,2831.55,4957.93,160537.3,97509.27,90082.98,186369.72,188652.09
6/8/2017,29021.08,11331.96,9870.15,116664.1,198585.46,,,121824.91
8/4/2016,41096.45,9717.23,3399.01,120534.09,149283.93,175491.93,84566.0,151494.71
11/7/2016,20814.45,4745.11,4208.54,170589.0,194605.33,,,160236.05
2/13/2018,41279.65,3951.59,6610.01,190096.4,100266.18,157951.86,149835.87,129475.91
4/14/2017,34080.16,8232.3,3207.56,154607.87,145769.98,88223.16,174894.88,163862.37
2/8/2017,15168.99,797.71,2567.04,117438.62,130276.42,167280.75,113799.5,90926.33
